candidate_name,end_date,daily_average,model,drift_pred
Donald Trump,2024-07-21,48.714285714285715,46.9,
Donald Trump,2024-07-22,46.9,45.20636428571428,
Donald Trump,2024-07-23,46.0,43.53464106071427,
Donald Trump,2024-07-24,43.56666666666666,41.942182419462476,
Donald Trump,2024-07-25,47.5,40.334484033685484,
Donald Trump,2024-07-26,46.5,39.12206824730819,
Donald Trump,2024-07-27,46.0,38.042009124169184,
Donald Trump,2024-07-28,44.5,37.122259806638326,
Donald Trump,2024-07-29,46.0,36.29523066817448,
Donald Trump,2024-07-30,46.0,35.74468168060894,
Donald Trump,2024-07-31,46.333333333333336,35.390872894691626,
Donald Trump,2024-08-01,46.0,35.25197181197444,
Donald Trump,2024-08-02,47.333333333333336,35.28069158182887,
Donald Trump,2024-08-03,46.0,35.57351061875707,
Donald Trump,2024-08-04,45.0,35.95705911196269,
Donald Trump,2024-08-05,44.7,36.42063870516065,
Donald Trump,2024-08-06,45.0,36.982648780063556,
Donald Trump,2024-08-07,47.53333333333333,37.66384464635027,
Donald Trump,2024-08-08,45.175,38.60049394932454,
Donald Trump,2024-08-09,45.0,39.480873470319565,
Donald Trump,2024-08-10,45.0,40.39954960300457,
Donald Trump,2024-08-11,46.0,41.34819936060575,
Donald Trump,2024-08-12,45.666666666666664,42.376171340876866,
Donald Trump,2024-08-13,45.0,43.3903712283433,
Donald Trump,2024-08-14,46.853846153846156,44.347086662835416,
Donald Trump,2024-08-15,45.266666666666666,45.39002016489691,
Donald Trump,2024-08-16,46.666666666666664,46.29941268477556,
Donald Trump,2024-08-17,45.0,47.239395269361474,
Donald Trump,2024-08-18,45.0,48.012095369440296,
Donald Trump,2024-08-19,45.8,48.69646089091941,
Donald Trump,2024-08-20,46.0,49.338816531624396,
Donald Trump,2024-08-21,45.125,49.903963917522326,
Donald Trump,2024-08-22,46.160000000000004,50.31825102948624,
Donald Trump,2024-08-23,46.142857142857146,50.69496264386544,
Donald Trump,2024-08-24,45.0,50.9768717939019,
Donald Trump,2024-08-25,47.4,51.0889242446943,
Donald Trump,2024-08-26,46.583333333333336,51.25450682290962,
Donald Trump,2024-08-27,46.833333333333336,51.293902576302834,
Donald Trump,2024-08-28,47.715384615384615,51.27022914951739,
Donald Trump,2024-08-29,46.142857142857146,51.23318702336059,
Donald Trump,2024-08-30,46.0,51.03538018685695,
Donald Trump,2024-08-31,47.86,50.75723706195249,
Donald Trump,2024-09-01,45.5,50.53819668177104,
Donald Trump,2024-09-02,45.0,50.12897807534944,
Donald Trump,2024-09-03,46.0,49.630592261005646,
Donald Trump,2024-09-04,46.8,49.14722096507245,
