date,candidate,forecast_run_date,record_type,data_source,polling_average,days_to_election,weeks_to_election,model_prediction,baseline_prediction,is_forecast,forecast_horizon,alpha,beta,mase_score,electoral_winner_model,electoral_votes_trump_model,electoral_votes_harris_model,electoral_winner_baseline,electoral_votes_trump_baseline,electoral_votes_harris_baseline,actual_election_winner,prediction_correct
2024-11-01,SUMMARY,2024-11-01,run_summary,pipeline_summary,,4,0.6,,,False,5,,,,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-05,Donald Trump,2024-11-01,forecast,holt_exponential_smoothing,,0,0.0,47.43747629248315,45.982142857142854,True,5,0.1,0.2,0.7614581744990204,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-05,Kamala Harris,2024-11-01,forecast,holt_exponential_smoothing,,0,0.0,48.51514752932284,48.83035714285714,True,5,0.4,0.2,0.5340201267213059,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-02,SUMMARY,2024-11-02,run_summary,pipeline_summary,,3,0.4,,,False,4,,,,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-05,Donald Trump,2024-11-02,forecast,holt_exponential_smoothing,,0,0.0,47.100617487517695,48.12143526576516,True,4,0.2,0.30000000000000004,0.7693809732934401,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-05,Kamala Harris,2024-11-02,forecast,holt_exponential_smoothing,,0,0.0,48.828907027515804,49.48594189315838,True,4,0.2,0.30000000000000004,0.5335124013690364,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-03,SUMMARY,2024-11-03,run_summary,pipeline_summary,,2,0.3,,,False,3,,,,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-05,Donald Trump,2024-11-03,forecast,holt_exponential_smoothing,,0,0.0,47.466109238370784,46.65189504373178,True,3,0.1,0.2,0.7700330063077352,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-05,Kamala Harris,2024-11-03,forecast,holt_exponential_smoothing,,0,0.0,48.82976741800191,48.1530612244898,True,3,0.2,0.4,0.46381697468521954,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-04,SUMMARY,2024-11-04,run_summary,pipeline_summary,,1,0.1,,,False,2,,,,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-05,Donald Trump,2024-11-04,forecast,holt_exponential_smoothing,,0,0.0,47.31848206892617,47.57506493506494,True,2,0.2,0.2,0.7321911822987535,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-05,Kamala Harris,2024-11-04,forecast,holt_exponential_smoothing,,0,0.0,48.662436543087246,48.71454545454546,True,2,0.30000000000000004,0.30000000000000004,0.4626859145211605,N/A (interim forecast),,,N/A (interim forecast),,,,
2024-11-05,Donald Trump,2024-11-05,forecast,holt_exponential_smoothing,,0,0.0,47.54275215055696,47.68267532467532,True,1,0.1,0.1,0.7265190619844765,Harris,262,276,Harris,262,276,,
2024-11-05,Kamala Harris,2024-11-05,forecast,holt_exponential_smoothing,,0,0.0,48.36773132568298,48.063428571428574,True,1,0.2,0.4,0.47320800907233584,Harris,262,276,Harris,262,276,,
2024-11-05,SUMMARY,2024-11-05,run_summary,pipeline_summary,,0,0.0,,,False,1,,,,Harris,262,276,Harris,262,276,,
