candidate_name,end_date,daily_average,model,drift_pred
Donald Trump,2024-07-21,48.714285714285715,46.9,
Donald Trump,2024-07-22,46.9,45.28528571428571,
Donald Trump,2024-07-23,46.0,43.66676142857142,
Donald Trump,2024-07-24,43.56666666666666,42.143421957142856,
Donald Trump,2024-07-25,47.5,40.54331554661904,
Donald Trump,2024-07-26,46.5,39.566119955014756,
Donald Trump,2024-07-27,46.0,38.65598272302075,
Donald Trump,2024-07-28,44.5,37.86029938699594,
Donald Trump,2024-07-29,46.0,37.06058139070365,
Donald Trump,2024-07-30,46.0,36.58022938013356,
Donald Trump,2024-07-31,46.333333333333336,36.24211027681914,
Donald Trump,2024-08-01,46.0,36.07204864773463,
Donald Trump,2024-08-02,47.333333333333336,35.9849393617479,
Donald Trump,2024-08-03,46.0,36.153358277409026,
Donald Trump,2024-08-04,45.0,36.27006838539662,
Donald Trump,2024-08-05,44.7,36.362406798731485,
Donald Trump,2024-08-06,45.0,36.49888730274555,
Donald Trump,2024-08-07,47.53333333333333,36.73673088333075,
Donald Trump,2024-08-08,45.175,37.31208946369079,
Donald Trump,2024-08-09,45.0,37.67270795804458,
Donald Trump,2024-08-10,45.0,38.05303752338256,
Donald Trump,2024-08-11,46.0,38.464803756952904,
Donald Trump,2024-08-12,45.666666666666664,39.010745329596695,
Donald Trump,2024-08-13,45.0,39.535318625013474,
Donald Trump,2024-08-14,46.853846153846156,39.99541473797177,
Donald Trump,2024-08-15,45.266666666666666,40.66347016917759,
Donald Trump,2024-08-16,46.666666666666664,41.15203407351977,
Donald Trump,2024-08-17,45.0,41.7868879133592,
Donald Trump,2024-08-18,45.0,42.22372082341443,
Donald Trump,2024-08-19,45.8,42.64463323422999,
Donald Trump,2024-08-20,46.0,43.1350080716217,
Donald Trump,2024-08-21,45.125,43.624995344558016,
Donald Trump,2024-08-22,46.160000000000004,43.993483936755126,
Donald Trump,2024-08-23,46.142857142857146,44.450288830364975,
Donald Trump,2024-08-24,45.0,44.876624632024466,
Donald Trump,2024-08-25,47.4,45.14727489291205,
Donald Trump,2024-08-26,46.583333333333336,45.653387378781765,
Donald Trump,2024-08-27,46.833333333333336,46.03652140894335,
Donald Trump,2024-08-28,47.715384615384615,46.414310155332686,
Donald Trump,2024-08-29,46.142857142857146,46.855535899888736,
Donald Trump,2024-08-30,46.0,47.08825953516612,
Donald Trump,2024-08-31,47.86,47.27254249727839,
Donald Trump,2024-09-01,45.5,47.630271738206645,
Donald Trump,2024-09-02,45.0,47.69492533766001,
Donald Trump,2024-09-03,46.0,47.67616432379144,
Donald Trump,2024-09-04,46.8,47.742517768071814,
Donald Trump,2024-09-05,46.325,47.872810690243426,
Donald Trump,2024-09-06,48.166666666666664,47.92709621329545,
Donald Trump,2024-09-07,46.0,48.16251555524264,
Donald Trump,2024-09-08,47.22545454545455,48.13610114077603,
Donald Trump,2024-09-09,46.1,48.225767156348304,
Donald Trump,2024-09-10,46.0,48.17266344425442,
Donald Trump,2024-09-11,46.25,48.09314346892738,
Donald Trump,2024-09-12,47.62,48.02814405644378,
Donald Trump,2024-09-13,46.15,48.102563144644094,
Donald Trump,2024-09-14,45.9,48.003014692577935,
Donald Trump,2024-09-15,47.23333333333333,47.867390938792624,
Donald Trump,2024-09-16,46.47777777777778,47.87232231766457,
Donald Trump,2024-09-17,47.57142857142857,47.7872595576949,
Donald Trump,2024-09-18,47.433181818181815,47.817909843224626,
Donald Trump,2024-09-19,45.833333333333336,47.827823144626265,
Donald Trump,2024-09-20,47.857142857142854,47.65681536928997,
Donald Trump,2024-09-21,47.857142857142854,47.70729259874678,
Donald Trump,2024-09-22,46.0,47.75422060784187,
Donald Trump,2024-09-23,47.0,47.59319932423475,
Donald Trump,2024-09-24,48.4625,47.542348175746,
Donald Trump,2024-09-25,47.72941176470588,47.65203366034866,
Donald Trump,2024-09-26,46.55,47.678215554005206,
Donald Trump,2024-09-27,47.0,47.57255592628547,
Donald Trump,2024-09-28,48.85,47.516736702074844,
Donald Trump,2024-09-29,47.771428571428565,47.66483203326454,
Donald Trump,2024-09-30,48.285714285714285,47.691326653859754,
Donald Trump,2024-10-01,47.371428571428574,47.77254426014257,
Donald Trump,2024-10-02,47.5,47.75020037748139,
Donald Trump,2024-10-03,46.75,47.74044602216866,
Donald Trump,2024-10-04,45.53333333333333,47.64676264216551,
Donald Trump,2024-10-05,45.0,47.4196466404077,
Donald Trump,2024-10-06,45.25,47.13771243908825,
Donald Trump,2024-10-07,47.666666666666664,46.89009453350986,
Donald Trump,2024-10-08,48.78333333333333,46.916670806487545,
Donald Trump,2024-10-09,47.48333333333333,47.07092274410258,
Donald Trump,2024-10-10,47.4,47.08387359384843,
Donald Trump,2024-10-11,47.75,47.09035728934788,
Donald Trump,2024-10-12,46.0,47.1377890424039,
Donald Trump,2024-10-13,46.6,46.99409972973028,
Donald Trump,2024-10-14,48.06666666666667,46.92083835102672,
Donald Trump,2024-10-15,47.473684210526315,47.01302806001657,
Donald Trump,2024-10-16,48.41111111111111,47.04130711399851,
Donald Trump,2024-10-17,48.827777777777776,47.17419899261186,
Donald Trump,2024-10-18,46.525,47.3520041378822,
Donald Trump,2024-10-19,47.5,47.2734809494689,
Donald Trump,2024-10-20,48.27222222222222,47.302575270402244,
Donald Trump,2024-10-21,46.333333333333336,47.41567885098267,
Donald Trump,2024-10-22,48.58461538461539,47.312759729439684,
Donald Trump,2024-10-23,47.111111111111114,47.45797928173096,
Donald Trump,2024-10-24,46.285714285714285,47.43785776973647,
